Category,Country/ States/ Union Territories Name,Literacy Rate (Persons) - Total - 2001,Literacy Rate (Persons) - Total - 2011,Literacy Rate (Persons) - Rural - 2001,Literacy Rate (Persons) - Rural - 2011,Literacy Rate (Persons) - Urban - 2001,Literacy Rate (Persons) - Urban - 2011
Country,INDIA,64.8,73,58.7,67.8,79.9,84.1
State,ANDHRA PRADESH,60.5,67,54.5,60.4,76.1,80.1
State,ARUNACHAL PRADESH,54.3,65.4,47.8,59.9,78.3,82.9
State,ASSAM,63.3,72.2,59.7,69.3,85.3,88.5
State,BIHAR,47,61.8,43.9,59.8,71.9,76.9
State,CHHATTISGARH,64.7,70.3,60.5,66,80.6,84
State,GOA,82,88.7,79.7,86.6,84.4,90
State,GUJARAT,69.1,78,61.3,71.7,81.8,86.3
State,HARYANA,67.9,75.6,63.2,71.4,79.2,83.1
State,HIMACHAL PRADESH,76.5,82.8,75.1,81.9,88.9,91.1
State,JAMMU & KASHMIR,55.5,67.2,49.8,63.2,71.9,77.1
State,JHARKHAND,53.6,66.4,45.7,61.1,79.1,82.3
State,KARNATAKA,66.6,75.4,59.3,68.7,80.6,85.8
State,KERALA,90.9,94,90,93,93.2,95.1
State,MADHYA PRADESH,63.7,69.3,57.8,63.9,79.4,82.8
State,MAHARASHTRA,76.9,82.3,70.4,77,85.5,88.7
State,MANIPUR,70.5,76.9,67.3,73.4,79.3,85.4
State,MEGHALAYA,62.6,74.4,56.3,69.9,86.3,90.8
State,MIZORAM,88.8,91.3,81.3,84.1,96.1,97.6
State,NAGALAND,66.6,79.6,62.8,75.3,84.7,89.6
State,ODISHA,63.1,72.9,59.8,70.2,80.8,85.7
State,PUNJAB,69.7,75.8,64.7,71.4,79.1,83.2
State,RAJASTHAN,60.4,66.1,55.3,61.4,76.2,79.7
State,SIKKIM,68.8,81.4,66.8,78.9,83.9,88.7
State,TAMIL NADU,73.5,80.1,66.2,73.5,82.5,87
State,TRIPURA,73.2,87.2,69.7,84.9,89.2,93.5
State,UTTAR PRADESH,56.3,67.7,52.5,65.5,69.8,75.1
State,UTTARAKHAND,71.6,78.8,68.1,76.3,81.4,84.5
State,WEST BENGAL,68.6,76.3,63.4,72.1,81.2,84.8
Union Territory,A & N ISLANDS,81.3,86.6,78.7,84.5,86.6,90.1
Union Territory,CHANDIGARH,81.9,86,75.6,80.7,82.6,86.2
Union Territory,D & N HAVELI,57.6,76.2,49.3,64.1,84.4,89.8
Union Territory,DAMAN & DIU,78.2,87.1,75.8,81.4,82.3,89
Union Territory,LAKSHADWEEP,86.7,91.8,85,91.6,88.6,91.9
Union Territory,NCT OF DELHI,81.7,86.2,78.1,81.9,81.9,86.3
Union Territory,PUDUCHERRY,81.2,85.8,74,80.1,84.8,88.5
