Name,mfr,calories,protein,fat,sodium,fibre,carbo,sugars,shelf,potassium,vitamins
100% Bran,N,212.12,12.12,3.03,393.94,30.3,15.15,18.18,3,848.48,enriched
All-Bran,K,212.12,12.12,3.03,787.88,27.27,21.21,15.15,3,969.7,enriched
All-Bran with Extra Fiber,K,100,8,0,280,28,16,0,3,660,enriched
Apple Cinnamon Cheerios,G,146.67,2.67,2.67,240,2,14,13.33,1,93.33,enriched
Apple Jacks,K,110,2,0,125,1,11,14,2,30,enriched
Basic 4,G,173.33,4,2.67,280,2.67,24,10.67,3,133.33,enriched
Bran Chex,R,134.33,2.99,1.49,298.51,5.97,22.39,8.96,1,186.57,enriched
Bran Flakes,P,134.33,4.48,0,313.43,7.46,19.4,7.46,3,283.58,enriched
Cap'n'Crunch,Q,160,1.33,2.67,293.33,0,16,16,2,46.67,enriched
Cheerios,G,88,4.8,1.6,232,1.6,13.6,0.8,1,84,enriched
Cinnamon Toast Crunch,G,160,1.33,4,280,0,17.33,12,2,60,enriched
Clusters,G,220,6,4,280,4,26,14,3,210,enriched
Cocoa Puffs,G,110,1,1,180,0,12,13,2,55,enriched
Corn Chex,R,110,2,0,280,0,22,3,1,25,enriched
Corn Flakes,K,100,2,0,290,1,21,2,1,35,enriched
Corn Pops,K,110,1,0,90,1,13,12,2,20,enriched
Count Chocula,G,110,1,1,180,0,12,13,2,65,enriched
Cracklin' Oat Bran,K,220,6,6,280,8,20,14,3,320,enriched
Crispix,K,110,2,0,220,1,21,3,3,30,enriched
Crispy Wheat & Raisins,G,133.33,2.67,1.33,186.67,2.67,14.67,13.33,3,160,enriched
Double Chex,R,133.33,2.67,0,253.33,1.33,24,6.67,3,106.67,enriched
Froot Loops,K,110,2,1,125,1,11,13,2,30,enriched
Frosted Flakes,K,146.67,1.33,0,266.67,1.33,18.67,14.67,1,33.33,enriched
Frosted Mini-Wheats,K,125,3.75,0,0,3.75,17.5,8.75,2,125,enriched
Fruit & Fibre: Dates Walnuts and Oats,P,179.1,4.48,2.99,238.81,7.46,17.91,14.93,3,298.51,enriched
Fruitful Bran,K,179.1,4.48,0,358.21,7.46,20.9,17.91,3,283.58,enriched
Fruity Pebbles,P,146.67,1.33,1.33,180,0,17.33,16,2,33.33,enriched
Golden Crisp,P,113.64,2.27,0,51.14,0,12.5,17.05,1,45.45,enriched
Golden Grahams,G,146.67,1.33,1.33,373.33,0,20,12,2,60,enriched
Grape Nuts Flakes,P,113.64,3.41,1.14,159.09,3.41,17.05,5.68,3,96.59,enriched
Grape-Nuts,P,440,12,0,680,12,68,12,3,360,enriched
Great Grains Pecan,P,363.64,9.09,9.09,227.27,9.09,39.39,12.12,3,303.03,enriched
Honey Graham Ohs,Q,120,1,2,220,1,12,11,2,45,enriched
Honey Nut Cheerios,G,146.67,4,1.33,333.33,2,15.33,13.33,1,120,enriched
Honey-comb,P,82.71,0.75,0,135.34,0,10.53,8.27,1,26.32,enriched
Just Right Fruit & Nut,K,186.67,4,1.33,226.67,2.67,26.67,12,3,126.67,100%
Kix,G,73.33,1.33,0.67,173.33,0,14,2,2,26.67,enriched
Life,Q,149.25,5.97,2.99,223.88,2.99,17.91,8.96,2,141.79,enriched
Lucky Charms,G,110,2,1,180,0,12,12,2,55,enriched
Mueslix Crispy Blend,K,238.81,4.48,2.99,223.88,4.48,25.37,19.4,3,238.81,enriched
Multi-Grain Cheerios,G,100,2,1,220,2,15,6,1,90,enriched
Nut&Honey Crunch,K,179.1,2.99,1.49,283.58,0,22.39,13.43,2,59.7,enriched
Nutri-Grain Almond-Raisin,K,208.96,4.48,2.99,328.36,4.48,31.34,10.45,3,194.03,enriched
Oatmeal Raisin Crisp,G,260,6,4,340,3,27,20,3,240,enriched
Post Nat. Raisin Bran,P,179.1,4.48,1.49,298.51,8.96,16.42,20.9,3,388.06,enriched
Product 19,K,100,3,0,320,1,20,3,3,45,100%
Puffed Rice,Q,50,1,0,0,0,13,0,3,15,none
Quaker Oat Squares,Q,200,8,2,270,4,28,12,3,220,enriched
Raisin Bran,K,160,4,1.33,280,6.67,18.67,16,2,320,enriched
Raisin Nut Bran,G,200,6,4,280,5,21,16,3,280,enriched
Raisin Squares,K,180,4,0,0,4,30,12,3,220,enriched
Rice Chex,R,97.35,0.88,0,212.39,0,20.35,1.77,1,26.55,enriched
Rice Krispies,K,110,2,0,290,0,22,3,1,35,enriched
Shredded Wheat 'n'Bran,N,134.33,4.48,0,0,5.97,28.36,0,1,208.96,none
Shredded Wheat spoon size,N,134.33,4.48,0,0,4.48,29.85,0,1,179.1,none
Smacks,K,146.67,2.67,1.33,93.33,1.33,12,20,2,53.33,enriched
Special K,K,110,6,0,230,1,16,3,1,55,enriched
Total Corn Flakes,G,110,2,1,200,0,21,3,3,35,100%
Total Raisin Bran,G,140,3,1,190,4,15,14,3,230,100%
Total Whole Grain,G,100,3,1,200,3,16,3,3,110,100%
Triples,G,146.67,2.67,1.33,333.33,0,28,4,3,80,enriched
Trix,G,110,1,1,140,0,13,12,2,25,enriched
Wheat Chex,R,149.25,4.48,1.49,343.28,4.48,25.37,4.48,1,171.64,enriched
Wheaties,G,100,3,1,200,3,17,3,1,110,enriched
Wheaties Honey Gold,G,146.67,2.67,1.33,266.67,1.33,21.33,10.67,1,80,enriched
